Sr. No.  Frequency(Hz)  Vo(VPP)  VR(mVPP)  AOL
1        10000          0.1      8         12.5125
2        1000           0.8      6.6       121.33
3        500            1.2      4.92      244.1463
4        100            1.56     1.32      1183
5        20             1.56     280       5577
6        10             1.52     200       7607.6
7        9              1.56     200       7807.8
8        8              1.56     200       7807.8
9        7              1.56     160       9759.75
10       6              1.56     100       13717.4074
11       5              1.56     100       15615.6
12       4              1.56     80        19019
13       3              1.56     80        19019
14       2              1.52     76        20020
15       1              1.52     72        21132.22
